OTU	Test-Statistic	P	FDR_P	Bonferroni_P	2_willreturn_mean	2_wontreturn_mean
Veillonellaceae Dialister micraerophilus	-3.04733250527	0.002997002997	0.674325674326	0.809190809191	0.446808510638	1.9
Prevotellaceae Prevotella melaninogenica	-1.86893669327	0.004995004995	0.674325674326	1.0	0.0425531914894	7.56666666667
Aerococcaceae Aerococcus christensenii	-2.42230794324	0.011988011988	0.809190809191	1.0	4.51063829787	28.0
Prevotellaceae Alloprevotella sp	-1.70940864689	0.011988011988	0.809190809191	1.0	0.0	0.1
Lactobacillaceae Lactobacillus iners	2.35888147387	0.016983016983	0.917082917083	1.0	4327.19148936	3829.76666667
Bacillales_Incertae_Sedis_XI Gemella sp	-2.24314595738	0.024975024975	0.989010989011	1.0	0.106382978723	9.1
Carnobacteriaceae Granulicatella elegans	-1.41361192871	0.027972027972	0.989010989011	1.0	0.0212765957447	1.03333333333
Streptococcaceae Streptococcus sp	-1.63482654897	0.030969030969	0.989010989011	1.0	7.04255319149	54.9666666667
Coriobacteriaceae Atopobium sp	-1.6137341826	0.032967032967	0.989010989011	1.0	0.106382978723	2.23333333333
Coriobacteriaceae Coriobacteriaceae sp_DNF00809	-1.9829857444	0.037962037962	1.0	1.0	0.234042553191	2.13333333333
Veillonellaceae Veillonella montpellierensis	-1.75458091103	0.043956043956	1.0	1.0	3.17021276596	17.5666666667
Pasteurellaceae Haemophilus sp	-1.30487893335	0.0559440559441	1.0	1.0	0.0	11.0333333333
Bifidobacteriaceae Gardnerella	-2.02886419528	0.0579420579421	1.0	1.0	183.744680851	420.6
Lactobacillaceae Lactobacillus non_iners	-1.8488390636	0.0639360639361	1.0	1.0	160.404255319	334.433333333
Peptoniphilaceae Finegoldia magna	-1.91818080012	0.0649350649351	1.0	1.0	0.744680851064	2.1
Bacillales_Incertae_Sedis_XI Gemella asaccharolytica	-1.54704588797	0.0759240759241	1.0	1.0	0.957446808511	3.93333333333
Prevotellaceae Prevotella bivia	-1.64043221699	0.0859140859141	1.0	1.0	14.3617021277	42.6333333333
Peptoniphilaceae Parvimonas sp_KA00581	-1.74797317769	0.0889110889111	1.0	1.0	0.0425531914894	0.633333333333
