OTU	Test-Statistic	P	FDR_P	Bonferroni_P	1_wontreturn_mean	1_willreturn_mean
Prevotellaceae Prevotella amnii	1.7108976791	0.0769230769231	1.0	1.0	0.5	0.0
Aerococcaceae Aerococcus christensenii	-1.70153991879	0.144855144855	1.0	1.0	0.0	0.363636363636
Lachnospiraceae Candidatus_Lachnocurva vaginae_(BVAB1)	-1.4492611432	0.155844155844	1.0	1.0	0.6	2.27272727273
Veillonellaceae Dialister sp_DNF00626	-1.18193848161	0.168831168831	1.0	1.0	0.0	1.45454545455
Peptoniphilaceae Peptoniphilus sp	-1.5620402059	0.16983016983	1.0	1.0	0.2	0.909090909091
Mycoplasmataceae Ureaplasma sp	-1.13243539407	0.181818181818	1.0	1.0	0.1	3.72727272727
Carnobacteriaceae gen sp	1.57736972143	0.215784215784	1.0	1.0	0.2	0.0
Peptoniphilaceae Peptoniphilus lacrimalis	-1.84197099403	0.224775224775	1.0	1.0	0.0	1.63636363636
Brevibacteriaceae Brevibacterium sp	1.57736972143	0.22977022977	1.0	1.0	0.2	0.0
Corynebacteriaceae Corynebacterium aurimucosum	1.39479305615	0.231768231768	1.0	1.0	0.7	0.181818181818
Veillonellaceae Megasphaera sp_DNF00751	-1.49103018519	0.253746253746	1.0	1.0	0.1	0.454545454545
Veillonellaceae Dialister micraerophilus	-1.14048755458	0.323676323676	1.0	1.0	0.3	1.63636363636
Fastidiosipilaceae BVAB2 BVAB2	-1.38451018136	0.327672327672	1.0	1.0	0.0	0.454545454545
Lactobacillaceae Lactobacillus iners	-1.03487862405	0.332667332667	1.0	1.0	244.0	522.818181818
Prevotellaceae Prevotella sp_DNF00663	-1.09707027144	0.346653346653	1.0	1.0	0.0	2.18181818182
Veillonellaceae Veillonella montpellierensis	-1.02398059964	0.358641358641	1.0	1.0	0.4	1.09090909091
Veillonellaceae Megasphaera elsdenii	1.05157981429	0.35964035964	1.0	1.0	2.7	0.0
Prevotellaceae Prevotella ihumii	-1.1083086161	0.378621378621	1.0	1.0	0.1	7.81818181818
Porphyromonadaceae Porphyromonas uenonis	-1.41794993233	0.382617382617	1.0	1.0	0.0	0.181818181818
Porphyromonadaceae Porphyromonas sp_KA00251	-1.41794993233	0.387612387612	1.0	1.0	0.0	0.181818181818
Enterobacteriaceae Enterobacter sp	1.05157981429	0.394605394605	1.0	1.0	9.4	0.0
Corynebacteriaceae Corynebacterium riegelii	1.08799078259	0.395604395604	1.0	1.0	0.9	0.272727272727
Peptoniphilaceae Anaerococcus hydrogenalis	-1.1816249436	0.424575424575	1.0	1.0	0.0	0.909090909091
Peptostreptococcaceae Romboutsia sp	1.05157981429	0.435564435564	1.0	1.0	0.1	0.0
Actinomycetaceae Varibaculum sp	1.05157981429	0.441558441558	1.0	1.0	0.2	0.0
Pasteurellaceae Haemophilus sp	1.05157981429	0.453546453546	1.0	1.0	0.1	0.0
Lachnospiraceae Blautia faecis	1.05157981429	0.455544455544	1.0	1.0	0.1	0.0
Coriobacteriaceae Atopobium vaginae	-1.03738724875	0.456543456543	1.0	1.0	0.3	3.72727272727
Lawsonellaceae Lawsonella clevelandensis	1.05761799447	0.458541458541	1.0	1.0	0.7	0.0909090909091
Acidaminococcaceae Succiniclasticum sp	1.05157981429	0.458541458541	1.0	1.0	0.1	0.0
Veillonellaceae Negativicoccus succinicivorans	1.05157981429	0.461538461538	1.0	1.0	0.1	0.0
Veillonellaceae Dialister sp	1.05157981429	0.463536463536	1.0	1.0	0.2	0.0
Peptoniphilaceae Finegoldia magna	-1.09854467132	0.463536463536	1.0	1.0	0.4	3.27272727273
Succinivibrionaceae Succinivibrio sp	1.05157981429	0.463536463536	1.0	1.0	0.2	0.0
Actinomycetaceae Mobiluncus mulieris	1.05157981429	0.465534465534	1.0	1.0	0.1	0.0
Peptoniphilaceae Peptoniphilus massiliensis	1.06213560849	0.465534465534	1.0	1.0	1.0	0.0909090909091
Streptococcaceae Streptococcus agalactiae	1.05157981429	0.466533466533	1.0	1.0	4.3	0.0
Actinomycetaceae Mobiluncus sp	1.05157981429	0.466533466533	1.0	1.0	0.2	0.0
Aerococcaceae Facklamia sp	1.05157981429	0.46953046953	1.0	1.0	0.2	0.0
Peptoniphilaceae Clostridiales sp_KA00134	1.05157981429	0.46953046953	1.0	1.0	0.1	0.0
Streptococcaceae Streptococcus sp	-1.31561729286	0.471528471528	1.0	1.0	0.0	6.0
Prevotellaceae Prevotella brunnea	1.05157981429	0.471528471528	1.0	1.0	0.9	0.0
Actinomycetaceae Mobiluncus curtisii	1.05157981429	0.472527472527	1.0	1.0	1.3	0.0
Bifidobacteriaceae Bifidobacterium sp	1.05157981429	0.473526473526	1.0	1.0	0.2	0.0
Veillonellaceae Megasphaera sp	1.05157981429	0.477522477522	1.0	1.0	0.2	0.0
Peptococcaceae Peptococcus sp	1.05157981429	0.477522477522	1.0	1.0	0.1	0.0
Porphyromonadaceae Porphyromonas somerae	1.05157981429	0.47952047952	1.0	1.0	0.2	0.0
Enterobacteriaceae Escherichia/Shigella sp	1.05157981429	0.480519480519	1.0	1.0	0.3	0.0
Porphyromonadaceae Porphyromonas asaccharolytica	1.05157981429	0.480519480519	1.0	1.0	0.1	0.0
Synergistaceae Jonquetella anthropi	1.05157981429	0.481518481518	1.0	1.0	0.3	0.0
Peptoniphilaceae Parvimonas sp	-1.12599600982	0.484515484515	1.0	1.0	0.0	1.18181818182
Porphyromonadaceae Porphyromonas bennonis	1.05157981429	0.484515484515	1.0	1.0	0.3	0.0
Peptoniphilaceae Peptoniphilus duerdenii	1.05157981429	0.485514485514	1.0	1.0	0.2	0.0
Staphylococcaceae Staphylococcus sp	-1.11281681614	0.486513486513	1.0	1.0	0.0	0.636363636364
Veillonellaceae Dialister propionicifaciens	1.05157981429	0.486513486513	1.0	1.0	0.1	0.0
Ruminococcaceae gen sp	1.05157981429	0.487512487512	1.0	1.0	0.2	0.0
Ruminococcaceae Oscillibacter sp	1.05157981429	0.488511488511	1.0	1.0	0.1	0.0
Enterococcaceae Enterococcus sp	1.05157981429	0.491508491508	1.0	1.0	1.7	0.0
Micrococcaceae Micrococcus sp	-1.03728115513	0.495504495504	1.0	1.0	0.1	0.454545454545
Staphylococcaceae Nosocomiicoccus massiliensis	1.05157981429	0.4995004995	1.0	1.0	0.1	0.0
Lachnospiraceae Blautia sp	1.05157981429	0.503496503497	1.0	1.0	0.1	0.0
Brevibacteriaceae Brevibacterium paucivorans	1.05157981429	0.503496503497	1.0	1.0	0.1	0.0
Bifidobacteriaceae Gardnerella	0.990598786639	0.511488511489	1.0	1.0	189.8	18.6363636364
Peptostreptococcaceae Peptostreptococcus anaerobius	0.750838457501	0.528471528472	1.0	1.0	1.4	0.636363636364
Prevotellaceae Prevotella copri	0.94998228891	0.558441558442	1.0	1.0	2.9	0.363636363636
Leptotrichiaceae Sneathia amnii	-1.0018541619	0.561438561439	1.0	1.0	0.2	6.0
Peptostreptococcaceae Peptostreptococcus stomatis	-0.670883449169	0.586413586414	1.0	1.0	0.2	0.454545454545
Prevotellaceae Prevotella bivia	-0.810651152047	0.617382617383	1.0	1.0	3.8	10.0
Micrococcaceae Pseudoglutamicibacter cumminsii	0.492261449068	0.617382617383	1.0	1.0	0.3	0.181818181818
Corynebacteriaceae Corynebacterium pseudogenitalium	0.858908708764	0.624375624376	1.0	1.0	0.9	0.272727272727
Prevotellaceae Prevotella corporis	0.943731306174	0.644355644356	1.0	1.0	57.8	5.72727272727
Mycoplasmataceae Mycoplasma hominis	-0.939519696026	0.658341658342	1.0	1.0	0.1	0.909090909091
Corynebacteriaceae Corynebacterium tuberculostearicum	0.68705872343	0.697302697303	1.0	1.0	0.4	0.181818181818
Prevotellaceae Prevotella timonensis	-0.667165631385	0.715284715285	1.0	1.0	1.4	3.0
Actinomycetaceae Schaalia turicensis	0.694957365075	0.717282717283	1.0	1.0	0.3	0.0909090909091
Prevotellaceae Prevotella sp_S7-1-8	-0.764389741765	0.724275724276	1.0	1.0	0.1	0.272727272727
Prevotellaceae Massiliprevotella massiliensis	0.879989413725	0.726273726274	1.0	1.0	0.6	0.0909090909091
Peptoniphilaceae Peptoniphilus coxii	-0.947486624941	0.731268731269	1.0	1.0	0.1	1.54545454545
Tissierellia_incertae_sedis Ezakiella sp	0.916369457473	0.734265734266	1.0	1.0	1.5	0.363636363636
Peptoniphilaceae Anaerococcus sp	-0.538633039655	0.737262737263	1.0	1.0	0.5	0.909090909091
Shewanellaceae Shewanella sp	-0.932007033244	0.738261738262	1.0	1.0	0.1	0.727272727273
Prevotellaceae Metaprevotella massiliensis	0.951189731211	0.743256743257	1.0	1.0	1.0	0.0909090909091
Clostridiales_Incertae_Sedis_XIII Casaltella massiliensis	0.512516156877	0.746253746254	1.0	1.0	0.2	0.0909090909091
Fusobacteriaceae Fusobacterium equinum	-0.994107236126	0.757242757243	1.0	1.0	0.0	2.27272727273
Prevotellaceae Prevotella buccalis	0.87181751013	0.76023976024	1.0	1.0	2.8	0.454545454545
Clostridiales_Incertae_Sedis_XI Fenollaria massiliensis	0.489143611159	0.766233766234	1.0	1.0	1.2	0.636363636364
