,To CT1,To CT2,To CT3,To CT4
From CT1,11.0,7.0,1.0,2.0
From CT2,5.0,46.0,13.0,10.0
From CT3,1.0,11.0,31.0,18.0
From CT4,1.0,14.0,17.0,36.0
